2000,Al Gore,George W. Bush
AL,,9,692611,941173,1666272
AK,,3,79004,167398,285560
AZ,,8,685341,781652,1532016
AR,,6,422768,472940,921781
CA,54,,5861203,4567429,10965856
CO,,8,738227,883748,1741368
CT,8,,816015,561094,1459525
DE,3,,180068,137288,327622
DC,2,,171923,18073,201894
FL,,25,2912253,2912790,5963110
GA,,13,1116230,1419720,2596804
HI,4,,205286,137845,367951
ID,,4,138637,336937,501621
IL,22,,2589026,2019421,4742123
IN,,12,901980,1245836,2199302
IA,7,,638517,634373,1315563
KS,,6,399276,622332,1072218
KY,,8,638898,872492,1544187
LA,,9,792344,927871,1765656
ME,4,,319951,286616,651817
MD,10,,1145782,813797,2025480
MA,12,,1616487,878502,2702984
MI,18,,2170418,1953139,4232501
MN,10,,1168266,1109659,2438685
MS,,7,404614,572844,994184
MO,,11,1111138,1189924,2359892
MT,,3,137126,240178,410997
NE,,5,231780,433862,697019
NV,,4,279978,301575,608970
NH,,4,266348,273559,569081
NJ,15,,1788850,1284173,3187226
NM,5,,286783,286417,598605
NY,33,,4107697,2403374,6821999
NC,,14,1257692,1631163,2911262
ND,,3,95284,174852,288256
OH,,21,2186190,2351209,4705457
OK,,8,474276,744337,1234229
OR,7,,720342,713577,1533968
PA,23,,2485967,2281127,4913119
RI,4,,249508,130555,409112
SC,,8,565561,785937,1382717
SD,,3,118804,190700,316269
TN,,11,981720,1061949,2076181
TX,,32,2433746,3799639,6407637
UT,,5,203053,515096,770754
VT,3,,149022,119775,294308
VA,,13,1217290,1437490,2739447
WA,11,,1247652,1108864,2487433
WV,,5,295497,336475,648124
WI,11,,1242987,1237279,2598607
WY,,3,60481,147947,218351
