2008,Barack Obama,John McCain
AL,0,9,813479,1266546,2099819
AK,0,3,123594,193841,326197
AZ,0,10,1034707,1230111,2303838
AR,0,6,422310,638017,1086617
CA,55,0,8274473,5011781,13583083
CO,9,0,1288633,1073629,2401462
CT,7,0,997773,629428,1646793
DE,3,0,255459,152374,412616
DC,3,0,245800,17367,265853
FL,27,0,4282367,4046219,8412248
GA,0,15,1844123,2048759,3932158
HI,4,0,325871,120566,453568
ID,0,4,236440,403012,658454
IL,21,0,3419348,2031179,5530179
IN,11,0,1374039,1345648,2756658
IA,7,0,828940,682379,1537123
KS,0,6,514765,699655,1238873
KY,0,8,751985,1048462,1827587
LA,0,9,782989,1148275,1960761
ME,4,0,421923,295273,731163
MD,10,0,1629467,959862,2631596
MA,12,0,1904098,1108854,3081069
MI,17,0,2872579,2048639,5010606
MN,10,0,1573354,1275409,2910369
MS,0,6,554662,724597,1289939
MO,0,11,1441911,1445814,2929111
MT,0,3,232159,243882,492750
NE,1,4,333319,452979,801281
NV,5,0,533736,412827,967848
NH,4,0,384826,316534,710970
NJ,15,0,2215422,1613207,3877407
NM,5,0,472422,346832,830158
NY,31,0,4804945,2752771,7640948
NC,15,0,2142651,2128474,4310789
ND,0,3,141403,168887,317738
OH,20,0,2940044,2677820,5721831
OK,0,7,502496,960165,1462661
OR,7,0,1037291,738475,1827864
PA,21,0,3276363,2655885,6015476
RI,4,0,296571,165391,471766
SC,0,8,862449,1034896,1920969
SD,0,3,170924,203054,381975
TN,0,11,1087437,1479178,2601982
TX,0,34,3528633,4479328,8087791
UT,0,5,327670,596030,958996
VT,3,0,219262,98974,325046
VA,13,0,1959532,1725005,3723260
WA,11,0,1750848,1229216,3053261
WV,0,5,303857,397466,715123
WI,10,0,1677211,1262393,2983417
WY,0,3,82868,164958,254658
