1980,Jimmy Carter,Ronald Reagan
AL,0,9,636730,654192,1341929
AK,0,3,41842,86112,158445
AZ,0,6,246843,529688,873945
AR,0,6,398041,403164,837582
CA,0,45,3083661,4524858,8587063
CO,0,7,367973,652264,1184415
CT,0,8,541732,677210,1406285
DE,0,3,105754,111252,235668
DC,3,0,130231,23313,173889
FL,0,17,1419475,2046951,3687026
GA,12,0,890733,654168,1597467
HI,4,0,135879,130112,303287
ID,0,4,110192,290699,437431
IL,0,26,1981413,2358049,4749721
IN,0,13,844197,1255656,2242033
IA,0,8,508672,676026,1317661
KS,0,7,326150,566812,979795
KY,0,9,616417,635274,1294627
LA,0,10,708453,792853,1548591
ME,0,4,220974,238522,523011
MD,10,0,726161,680606,1540496
MA,0,14,1053802,1057631,2524298
MI,0,21,1661532,1915225,3909725
MN,10,0,954174,873241,2051953
MS,0,7,429281,441089,892620
MO,0,12,931182,1074181,2099824
MT,0,4,118032,206814,363952
NE,0,5,166851,419937,640854
NV,0,3,66666,155017,247885
NH,0,4,108864,221705,383999
NJ,0,17,1147364,1546557,2975684
NM,0,4,167826,250779,456237
NY,0,41,2728372,2893831,6201959
NC,0,13,875635,915018,1855833
ND,0,3,79189,193695,301545
OH,0,25,1752414,2206545,4283603
OK,0,8,402026,695570,1149708
OR,0,6,456890,571044,1181516
PA,0,27,1937540,2261872,4561501
RI,4,0,198342,154793,416072
SC,0,8,427560,441207,890083
SD,0,4,103855,198343,327703
TN,0,10,783051,787761,1617616
TX,0,26,1881147,2510705,4541637
UT,0,4,124266,439687,604222
VT,0,3,81891,94598,213207
VA,0,12,752174,989609,1866032
WA,0,9,650193,865244,1742394
WV,6,0,367462,334206,737715
WI,0,11,981584,1088845,2273221
WY,0,3,49427,110700,176713
