2004,John Kerry,George W. Bush
AL,,9,693933,1176394,1883449
AK,,3,111025,190889,312598
AZ,,10,893524,1104294,2012585
AR,,6,469953,572898,1054945
CA,55,,6745485,5509826,12421852
CO,,9,1001732,1101255,2130330
CT,7,,857488,693826,1578769
DE,3,,200152,171660,375190
DC,3,,202970,21256,227586
FL,,27,3583544,3964522,7609810
GA,,15,1366149,1914254,3301875
HI,4,,231708,194191,429013
ID,,4,181098,409235,598447
IL,21,,2891550,2345946,5274322
IN,,11,969011,1479438,2468002
IA,,7,741898,751957,1506908
KS,,6,434993,736456,1187756
KY,,8,712733,1069439,1795882
LA,,9,820299,1102169,1943106
ME,4,,396842,330201,740752
MD,10,,1334493,1024703,2386678
MA,12,,1803800,1071109,2912388
MI,17,,2479183,2313746,4839252
MN,9,,1445014,1346695,2828387
MS,,6,458094,684981,1152145
MO,,11,1259171,1455713,2731364
MT,,3,173710,266063,450445
NE,,5,254328,512814,778186
NV,,5,397190,418690,829587
NH,4,,340511,331237,677738
NJ,15,,1911430,1670003,3611691
NM,,5,370942,376930,756304
NY,31,,4314280,2962567,7391036
NC,,15,1525849,1961166,3501007
ND,,3,111052,196651,312833
OH,,20,2741167,2859768,5627908
OK,,7,503966,959792,1463758
OR,7,,943163,866831,1836782
PA,21,,2938095,2793847,5769590
RI,4,,259765,169046,437134
SC,,8,661699,937974,1617730
SD,,3,149244,232584,388215
TN,,11,1036477,1384375,2437319
TX,,34,2832704,4526917,7410765
UT,,5,241199,663742,927844
VT,3,,184067,121180,312309
VA,,13,1454742,1716959,3198367
WA,11,,1510201,1304894,2859084
WV,,5,326541,423778,755887
WI,10,,1489504,1478120,2997007
WY,,3,70776,167629,243428
