1984,Walter Mondale,Ronald Reagan
AL,0,9,551899,872849,1441713
AK,0,3,62007,138377,207605
AZ,0,7,333854,681416,1025897
AR,0,6,338646,534774,884406
CA,0,47,3922519,5467009,9505423
CO,0,8,454974,821818,1295381
CT,0,8,569597,890877,1466900
DE,0,3,101656,152190,254572
DC,3,0,180408,29009,211288
FL,0,21,1448816,2730350,4180051
GA,0,12,706628,1068722,1776093
HI,0,4,147154,185050,335846
ID,0,4,108510,297523,411144
IL,0,24,2086499,2707103,4819088
IN,0,12,841481,1377230,2233069
IA,0,8,605620,703088,1319805
KS,0,7,333149,677296,1021991
KY,0,9,539589,822782,1370461
LA,0,10,651586,1037299,1706822
ME,0,4,214515,336500,553144
MD,0,10,787935,879918,1675873
MA,0,13,1239606,1310936,2559453
MI,0,20,1529638,2251571,3801658
MN,10,0,1036364,1032603,2084449
MS,0,7,352192,581477,940192
MO,0,11,848583,1274188,2122771
MT,0,4,146742,232450,384377
NE,0,5,187866,460054,652090
NV,0,4,91655,188770,286667
NH,0,4,120395,267051,388954
NJ,0,16,1261323,1933630,3217862
NM,0,5,201769,307101,514370
NY,0,36,3119609,3664763,6806810
NC,0,13,824287,1346481,2175361
ND,0,3,104429,200336,308971
OH,0,23,1825440,2678560,4547619
OK,0,8,385080,861530,1255676
OR,0,7,536479,685700,1226527
PA,0,25,2228131,2584323,4844903
RI,0,4,197106,212080,410492
SC,0,8,344470,615539,968540
SD,0,3,116113,200267,317867
TN,0,11,711714,990212,1711993
TX,0,29,1949276,3433428,5397571
UT,0,5,155369,469105,629656
VT,0,3,95730,135865,234561
VA,0,12,796250,1337078,2146635
WA,0,10,807352,1051670,1883910
WV,0,6,328125,405483,735742
WI,0,11,995847,1198800,2212016
WY,0,3,53370,133241,188968
