1988,Michael Dukakis,George H. W. Bush
AL,0,9,549506,815576,1378476
AK,0,3,72584,119251,200116
AZ,0,7,454029,702541,1171873
AR,0,6,349237,466578,827738
CA,0,47,4702233,5054917,9887064
CO,0,8,621453,728177,1372394
CT,0,8,676584,750241,1443394
DE,0,3,108647,139639,249891
DC,3,0,159407,27590,192877
FL,0,21,1656701,2618885,4302313
GA,0,12,714792,1081331,1809672
HI,4,0,192364,158625,354461
ID,0,4,147272,253881,408968
IL,0,24,2215940,2310939,4559120
IN,0,12,860643,1297763,2168621
IA,8,0,670557,545355,1225614
KS,0,7,422636,554049,993044
KY,0,9,580368,734281,1322517
LA,0,10,734281,883702,1628202
ME,0,4,243569,307131,555035
MD,0,10,826304,876167,1714358
MA,13,0,1401406,1194644,2632805
MI,0,20,1675783,1965486,3669163
MN,10,0,1109471,962337,2096790
MS,0,7,363921,557890,931527
MO,0,11,1001619,1084953,2093228
MT,0,4,168936,190412,365674
NE,0,5,259646,398447,662372
NV,0,4,132738,206040,350067
NH,0,4,163696,281537,450525
NJ,0,16,1320352,1743192,3099553
NM,0,5,244497,270341,521287
NY,36,0,3347882,3081871,6485683
NC,0,13,890167,1237258,2134370
ND,0,3,127739,166559,297261
OH,0,23,1939629,2416549,4393699
OK,0,8,483423,678367,1171036
OR,7,0,616206,560126,1201694
PA,0,25,2194944,2300087,4536251
RI,4,0,225123,177761,404620
SC,0,8,370554,606443,986009
SD,0,3,145560,165415,312991
TN,0,11,679794,947233,1636250
TX,0,29,2352748,3036829,5427410
UT,0,5,207343,428442,647008
VT,0,3,115775,124331,243333
VA,0,12,859799,1309162,2191609
WA,10,0,933516,903835,1865253
WV,5,0,341016,310065,653311
WI,11,0,1126794,1047499,2191608
WY,0,3,67113,106867,176551
